Name	lat	lng	population
El Tarter	42.57952	1.65362	1721
Sant Julià de Lòria	42.46372	1.49129	921
Pas de la Casa	42.54277	1.73361	2106
Ordino	42.55623	1.53319	1296
les Escaldes	42.50729	1.53414	1033
la Massana	42.54499	1.51483	1245
Encamp	42.53474	1.58014	1257
Canillo	42.5676	1.59756	1561
Arinsal	42.57205	1.48453	1465
Andorra la Vella	42.50779	1.52109	1037
Umm Al Quwain City	25.56473	55.55517	2
Ras Al Khaimah City	25.78953	55.9432	2
Muzayri‘	23.14355	53.7881	123
Murbaḩ	25.27623	56.36256	15
Zayed City	23.65416	53.70522	124
Khawr Fakkān	25.33132	56.34199	20
Dubai	25.07725	55.30927	24
Dibba Al-Fujairah	25.59246	56.26176	16
Dibba Al-Hisn	25.61955	56.27291	4
Sharjah	25.33737	55.41206	6
Ar Ruways	24.11028	52.73056	16
Al Fujairah City	25.11641	56.34141	15
Al Ain City	24.19167	55.76056	275
Ajman City	25.40177	55.47878	16
Adh Dhayd	25.28812	55.88157	114
Abu Dhabi	24.45118	54.39696	13
Khalifah A City	24.42588	54.605	1
Bani Yas City	24.30978	54.62944	16
Musaffah	24.35893	54.48267	10
Al Shamkhah City	24.39268	54.70779	18
Reef Al Fujairah City	25.14479	56.24764	187
Zorkot	33.54149	69.73446	1845
Wulêswālī Bihsūd	34.3436	67.90567	2960
Kuhsān	34.65389	61.19778	740
Lāsh	35.3782	64.77457	1927
Tukzār	35.94831	66.42132	1210
Mīray	33.32462	68.44068	2077
Āq Kupruk	36.08352	66.84029	719
Zurmat	33.43778	69.02774	2150
Zaybāk	36.52947	71.3441	2616
Zīārat-e Shāh Maqşūd	31.9848	65.4736	1577
Zindah Jān	34.34264	61.74675	834
Zarghūn Shahr	32.84734	68.44573	2120
Zaṟah Sharan	33.14641	68.79213	2154
Zaranj	30.95962	61.86037	489
Zamtō Kêlay	32.3726	66.17708	1925
Yangī Qal‘ah	37.46572	69.61131	471
Bāzār-e Yakāwlang	34.73525	66.97379	2585
Yaḩyá Khēl	32.93742	68.64622	2136
Wāshēr	32.25122	63.85553	1175
Tōrmay	33.68847	68.40205	2296
Tūlak	33.97509	63.72868	2275
Tītān	33.69032	63.86361	2194
Tīr Pul	34.59431	61.26895	751
Taywarah	33.52118	64.42116	2160
Bāzār-e Tashkān	36.88168	70.27674	1285
Tarinkot	32.62998	65.87806	1325
Taloqan	36.73605	69.53451	801
Tagāw-Bāy	35.69941	66.06164	1666
Tagāb	34.85501	69.64917	1335
Markaz-e Ḩukūmat-e Sulţān-e Bakwāh	32.24139	62.94936	724
Spīn Bōldak	31.00575	66.40001	1218
Spērah	33.20204	69.5152	1743
Sōzmah Qal‘ah	36.09916	66.20823	870
Siyāhgird	35.00553	68.85578	1878
Sheywah	34.57169	70.58859	602
Shīnḏanḏ	33.30294	62.1474	1071
Shaykh Amīr Kêlay	33.28744	69.91283	1207
Qāshqāl	35.03975	69.00685	1733
Shibirghān	36.66757	65.7529	360
Shwāk	33.42386	69.37684	2300
Shahr-e Şafā	31.80347	66.32376	1257
Shahrān	36.97984	70.73928	2093
Shahrak	34.10737	64.3052	2357
‘Alāqahdārī Shāh Jōy	32.52154	67.41315	1865
Wulêswālī Sayyid Karam	33.69056	69.36881	2458
Markaz-e Sayyidābād	34.00037	68.71346	2113
Şayād	36.13529	65.8297	946
Sidqābād	35.02298	69.35112	1486
Sāyagaz	32.56521	67.03324	1673
Sar-e Tayghān	33.50998	65.67632	1423
Sarōbī	34.58962	69.76005	987
Sar Kāṉī	34.79023	71.10962	792
Sarfirāz Kalā	32.98333	67.96517	2106
Sar-e Pul	36.21544	65.93249	636
Sar Chakān	35.70177	65.23055	1348
Sangīn	32.07275	64.8359	885
Sang-e Māshah	33.1396	67.44046	2484
Sang-e Chārak	35.84972	66.43694	1483
Sang Atesh	35.248	63.0044	634
Sangar Sarāy	34.40744	70.63937	517
Aībak	36.26468	68.01551	969
Rū-ye Sang	35.31999	67.63387	1751
Rūdbār	30.15	62.6	556
Rustāq	37.12604	69.83045	1314
Rabāţ-e Sangī-ye Pā’īn	34.79951	62.13917	1192
Rāmak	33.52234	68.6264	2183
Qurghān	36.91939	65.0649	312
Quchanghī	34.06183	66.27801	2456
Sangalak-i-Kaisar	35.68747	64.29318	1258
Qarqīn	37.41853	66.04358	263
Qarghah’ī	34.55402	70.24292	659
Qarchī Gak	37.03999	66.78891	306
Qarāwul	37.21959	68.7802	337
Qarah Bāgh	34.94023	61.77589	952
Qarah Bāgh	33.19801	68.10798	2089
Qala i Naw	34.98735	63.12891	887
Qal‘ah-ye Kūf	38.04119	70.47298	1383
Qal‘ah-ye Kuhnah	32.61591	63.66681	1429
Qal‘ah-ye Shahr	35.54729	65.5676	2136
Qalāt	32.10575	66.90833	1568
Qal‘ah-ye Shāhī	34.64921	70.5914	894
Qādis	34.8085	63.43003	1300
Pārūn	35.42064	70.92261	2756
Pul-e Khumrī	35.94458	68.71512	638
Pul-e ‘Alam	33.99529	69.02274	1921
Pasnay	35.76664	65.76486	1759
Pāshmūl	31.5572	65.4343	946
Pasāband	33.68956	64.8531	2468
Panjāb	34.38795	67.02327	2728
Paghmān	34.58787	68.95091	2328
Ōmnah	32.90029	68.79627	2595
Qaryeh-ye Owbeh	34.36972	63.17639	1287
Uruzgān	32.92775	66.63253	2026
Urgun	32.9515	69.1828	2208
Nūsay	38.4435	70.80413	1260
Nūrgal	34.61341	70.76498	679
Now Zād	32.40315	64.46959	1220
Nīlī	33.72178	66.13023	2069
Nayak	34.73414	66.95292	2554
Nāyak	32.5723	66.77403	2116
Now Dahānak	35.62398	70.00511	2629
Ōkak	33.89793	67.95652	3068
Nāṟay	35.21995	71.52284	1098
Narang	34.76009	71.04738	779
Nīkêh	33.18934	69.27179	2488
Nahrīn	36.0649	69.13343	1138
Ḩukūmat-e Nād ‘Alī	31.64286	64.23982	797
Mūsá Qal‘ah	32.44565	64.74486	1053
Bala Murghab	35.58408	63.32886	466
Muqêr	32.82009	67.76934	2000
Muḩammad Āghah Wuluswālī	34.21422	69.10026	1853
Mīzān ‘Alāqahdārī	32.17635	66.51271	1409
Mīr Bachah Kōṯ	34.74999	69.11899	1673
Mīrān	34.22037	68.31259	2457
Mīrābād	30.43624	61.8383	514
Maymana	35.92139	64.78361	864
Maīdān Khūlah	33.64916	69.7812	2026
Mingajik	37.0279	66.12817	280
Mehtar Lām	34.67139	70.20944	795
Mazār-e Sharīf	36.70904	67.11087	361
Māymay	38.40856	71.03839	1636
Mutā Khān	33.24001	68.8663	2124
Mashhad	36.81665	70.10211	977
Mardīān	36.99252	66.29654	287
Mandōl	35.28403	70.17017	2003
Māmā Khēl	34.24494	69.9968	1531
Lashkar Gāh	31.59382	64.37161	786
Lāsh-e Juwayn	31.71382	61.62272	513
Larkird	35.48936	66.66409	1508
La‘l	34.50141	66.27997	2797
Kushk	33.29565	61.95221	1115
Kōṯowāl	34.10319	70.46073	1464
Kushk-e Kuhnah	34.8711	62.54762	1076
Kuran wa Munjan	36.02866	70.77258	2550
Kunduz	36.72895	68.857	402
Khōshī	33.99916	69.21582	2252
Khōshāmand	32.68567	68.23801	2011
Khwājah Ghār	37.06588	69.42126	512
Khwājah Dū Kōh	36.82881	65.62432	307
Deh Khwāhān	37.88965	70.21875	1047
Khulbisāt	33.4948	70.00605	1148
Khūgyāṉī	31.56267	66.5814	1311
Khōst	33.33951	69.92041	1183
Khulm	36.69736	67.69826	445
Khudāydād Khēl	35.17835	67.68758	2030
Khinjān	35.58908	68.90093	1132
Khinj	35.42898	69.73482	2225
Khāsh	31.52919	62.79055	579
Khān Neshīn	30.5488	63.7888	635
Khānaqāh	36.62587	69.53695	1378
Chahār Bāgh	37.00108	65.22392	284
Khandūd	36.95127	72.318	2807
Khānaqāh	36.86279	66.16656	299
Khanabad	36.6825	69.11556	503
Khamyāb	37.5275	65.75833	254
Khākirān	32.8385	67.07377	2673
Kaz̲h̲ah	34.24088	70.18274	1276
Kishk-e Nakhūd	31.62519	65.05511	944
Karukh	34.48108	62.5863	1340
Kanḏay	34.9536	70.77897	1222
Kandahār	31.61332	65.71013	1007
Kalān Deh	33.83676	68.40233	2502
Kalakān	34.78371	69.15001	1593
Kalafgān	36.77226	69.94489	1590
Kajrān	33.20357	65.47311	1364
Kai	34.12819	70.71828	945
Kabul	34.52813	69.17233	1798
Jurm	36.86477	70.83421	1564
Jawand	35.06361	64.14917	945
Jānī Khēl	32.76315	68.39722	2048
Jalrēz	34.4708	68.65438	2347
Jalālābād	34.42647	70.45153	575
Jabal os Saraj	35.11833	69.23778	1612
Ḩukūmat-e Shīnkaī	31.98303	67.33558	1936
Herāt	34.34817	62.19967	927
Ḩājī Khēl	35.10922	69.43341	1914
Ḩāfiz̧ Moghul	37.05643	70.40061	1700
Khafizan	34.28665	70.37247	909
Guz̄arah	34.21223	62.21235	983
Gōshtah	34.35822	70.76264	483
Gōmal Kêlay	32.50989	68.85598	1827
‘Alāqahdārī Gēlān	32.72692	67.63696	1987
Ghōriyān	34.3448	61.49321	796
Ghormach	35.73062	63.78264	659
Ghurayd Gharamē	36.5222	70.79063	1884
Ghazni	33.55391	68.42096	2179
Gereshk	31.82089	64.57005	830
Gardez	33.59744	69.22592	2308
Fayzabad	37.11664	70.58002	1210
Faīẕābād	36.82091	66.45921	312
Fayẕābād	36.29111	64.86222	495
Qal‘ah-ye Fārsī	33.78529	63.24735	2286
Farkhār	36.57288	69.85783	1153
Farah	32.37451	62.11638	662
Istālif	34.83268	69.07756	1891
Kafir Qala	34.66667	61.06667	726
Injīl	34.30157	62.2465	937
Imām Şāḩib	37.18897	68.93644	358
Dōshī	35.60918	68.68473	836
Dowlatyār	34.55132	65.79302	2456
Dowlat Shāh	34.9504	70.07102	1551
Dowlatābād	36.98821	66.82069	312
Dowlatābād	36.43259	64.92071	413
Dū Qal‘ah	32.14237	61.4469	557
Dūāb	35.56277	67.82191	2238
Dê Nārkhēl Kêlay	32.43205	65.63484	1478
Dehī	35.95806	67.27998	1271
Deh-e Şalāḩ	35.69031	69.31511	1632
Deh-e Now	34.74767	69.04784	1974
Dehdādī	36.66319	66.99339	398
Dwah Manḏay	33.28159	69.58531	1543
Dasht-e Qal‘ah	37.1539	69.4435	449
Dasht-e Qal‘ah	33.02978	63.8395	1718
Dasht-e Archī	37.13333	69.16667	379
Darzāb	35.97744	65.37828	1179
Markaz-e Ḩukūmat-e Darwēshān	31.13231	64.1934	714
Darqad	37.38414	69.45294	435
Darāyim	36.86667	70.38333	1693
Dāngām	34.99249	71.41935	1250
Ḏanḏar	34.79095	69.47504	1724
Ḩukūmatī Dahanah-ye Ghōrī	35.90617	68.48869	801
Tsowkêy	34.69246	70.92688	725
Chīras	35.41674	65.98234	2691
Chisht-e Sharīf	34.34731	63.73966	1572
Chinār	32.01583	65.10721	1132
Chimtāl	36.67818	66.80325	355
Charkh	33.79712	68.93749	2081
Charikar	35.01361	69.17139	1554
Dowr-e Rabāţ	36.69132	68.79093	390
Tsapêraī	33.83003	69.9192	1679
Tsamkanī	33.80298	69.81671	1716
Chakaray	34.34099	69.4377	2372
Chākarān	36.91112	71.0688	1759
Chahār Qal‘ah	33.55267	68.29828	2376
Chahār Burj	34.24475	62.19165	943
Chāh Āb	37.39773	69.81464	1034
Fayrōz Kōh	34.51952	65.25093	2263
Bulōlah	34.87706	68.0879	2430
Bal Chirāgh	35.84026	65.2309	1163
Bāzār-e Tālah	35.39205	68.22317	1206
Bāsawul	34.24749	70.87218	464
Būrkah	36.22242	69.15037	1188
Barg-e Matāl	35.67283	71.34339	2077
Baraki Barak	33.96744	68.9492	1940
Banū	35.63348	69.26019	1510
Bāmyān	34.82156	67.82734	2550
Balkh	36.75635	66.8972	348
Bahārak	37.00254	70.90664	1552
Bagrāmī	34.49376	69.27427	1788
Baghlān	36.13068	68.70829	531
Ḩukūmatī Azrah	34.17355	69.64573	2330
Ārt Khwājah	37.08571	69.47958	481
‘Alāqahdārī Aṯghar	31.73506	67.3574	1827
Āsmār	35.03333	71.35809	913
Ashkāsham	36.68333	71.53333	3057
Asadābād	34.87311	71.14697	837
Āqchah	36.905	66.18341	293
Andkhōy	36.95293	65.12376	306
’Unābah	35.23251	69.37719	1770
Anār Darah	32.7587	61.65397	778
Amānzī	30.21144	66.04765	993
‘Alāqahdārī-ye Almār	35.84616	64.53074	840
‘Alī Shēr ‘Alāqahdārī	33.4362	70.06711	1082
Wuluswālī ‘Alīngār	34.83529	70.3593	937
‘Alī Khēl	33.94253	69.71908	2144
‘Alāqahdārī Yōsuf Khēl	33.05195	68.65	2239
‘Alāqahdārī Dīshū	30.43206	63.29802	596
Alah Sāy	34.8965	69.72049	1602
Pachīr wa Āgām	34.20011	70.27806	1241
Afaki	36.66172	69.35095	711
Adraskan	33.64573	62.26959	1352
Āb-e Kamarī	35.08796	63.0678	760
Khadīr	33.92232	65.93398	2462
Ghulām ‘Alī	34.95076	69.2287	1489
Qarah Bāgh Bāzār	34.8529	69.17062	1531
Zargarān	34.78764	69.05878	1935
Surkh Bilandī	34.68474	69.02863	2040
Pul-e Sangī	34.59972	69.25993	1776
Langar	35.99474	68.05081	1440
Bāgh-e Maīdān	35.22156	69.21397	1988
Ibrāhīm Khān	35.05352	69.25654	1491
Qaranghū Tōghaī	37.21528	67.63972	301
Bāzārak	35.31292	69.51519	1965
Shērwānī-ye Bālā	35.01468	69.59934	1786
Kirāmān	35.2973	69.68125	2527
‘Alāqahdārī Saṟōbī	32.79331	69.0866	2400
Zerok-Alakadari	33.15806	69.31278	2336
Kushkak	32.28991	61.52194	612
Khayr Kōṯ	32.85355	68.44971	2126
Chowṉêy	33.38278	66.27233	1347
Wuṯahpūr	34.91914	71.09863	872
Karbori	34.96597	71.2746	884
Sulţānpūr-e ‘Ulyā	34.41204	70.29634	696
Babasakhib	31.66144	65.66098	1014
Chandal Bā’ī	34.58469	68.95524	2304
Dahan-e Jarf	34.92891	68.46273	2306
Maydanshakhr	34.39561	68.86618	2206
Dū Laīnah	34.15599	64.78566	2619
Qaram Qōl	36.83006	65.04299	334
Pul-e Ḩişār	35.61794	69.47134	1979
Lab-Sar	36.02634	66.83799	1011
Ţāqchah Khānah	36.61922	69.62805	1071
March	37.52845	70.4482	1607
Zīrakī	37.59233	70.55814	2475
Aliabad	36.52115	68.89985	426
Pas Pul	37.47355	70.61617	2143
Qal‘ah-ye Na‘īm	34.39951	69.16705	1819
Markaz-e Woluswalī-ye Āchīn	34.12583	70.70778	972
Manogay	34.99015	70.91302	1042
Stêr Giyān	32.97704	69.37308	2132
Sharan	33.17568	68.73045	2145
Salām Khēl	33.67067	69.32983	2417
Saint John’s	17.12096	-61.84329	12
Potters Village	17.11337	-61.81962	1
Piggotts	17.11667	-61.8	11
Parham	17.09682	-61.77046	18
Liberta	17.04141	-61.79052	1
Falmouth	17.02741	-61.78136	25
Codrington	17.63333	-61.83333	6
Bolands	17.06565	-61.87466	9
All Saints	17.06671	-61.79303	60
West End Village	18.17191	-63.14941	23
The Valley	18.21704	-63.05783	19
The Quarter	18.20799	-63.04178	40
Farrington	18.215	-63.02238	19
Stoney Ground	18.22026	-63.04607	26
South Hill Village	18.19201	-63.08779	40
Sandy Ground Village	18.20118	-63.08998	4
North Side	18.22919	-63.04401	37
North Hill Village	18.20542	-63.07847	36
Island Harbour	18.25601	-63.0102	11
George Hill	18.19939	-63.0665	30
East End Village	18.23333	-63	6
Blowing Point Village	18.17648	-63.09375	10
Sandy Hill	18.22104	-63.01329	18
Xarrë	39.72833	20.05444	8
Sarandë	39.87534	20.00477	170
Mesopotam	39.91028	20.09222	47
Markat	39.73278	20.19528	472
Livadhja	39.78917	20.12194	35
Konispol	39.65889	20.18139	382
Kakavijë	39.90778	20.35833	341
Finiq	39.90639	20.05833	37
Dhivër	39.83611	20.16861	382
Delvinë	39.95111	20.09778	200
Aliko	39.85861	20.07917	33
Buçimas	40.89139	20.68139	703
Zhepë	40.67778	20.28694	801
Zerqan	41.50222	20.36056	725
Zavalinë	40.98083	20.28083	844
Zapod	42.05056	20.5525	1198
Zall-Reç	41.87611	20.32	488
Zall-Dardhë	41.80667	20.33611	397
Xibër-Murrizë	41.45472	20.02556	842
Vreshtas	40.79694	20.77694	818
Voskopojë	40.63306	20.58889	1199
Voskop	40.61194	20.69028	893
Vithkuq	40.525	20.5825	1253
Vithkuq	40.20472	20.25944	675
Vërtop	40.62889	20.05389	167
Vergo	40.00667	20.00889	234
Vendresha e Vogël	40.50722	20.13472	679
Velçan	40.95472	20.46222	1023
Ujmisht	41.90833	20.34694	594
Udënisht	40.96333	20.63917	743
Tunjë	40.83417	20.11194	597
Tregan	41.02472	20.07833	259
Trebisht-Muçinë	41.41111	20.53556	790
Trebinjë	40.91333	20.55306	898
Topojan	40.37722	20.21333	648
Tomin	41.69083	20.42167	686
Tepelenë	40.29583	20.01917	212
Surroj	41.99222	20.34417	595
Sult	40.88472	20.09944	439
Sukë	40.37528	20.15472	259
Suç	41.57694	20.05139	281
Stravaj	41.00528	20.42306	729
Steblevë	41.33722	20.47	1148
Sllovë	41.80111	20.40833	914
Skore	40.10722	20.36639	790
Skënderbegas	40.77611	20.24056	521
Shushicë	41.0975	20.14833	199
Shupenzë	41.53	20.42361	499
Shtiqën	42.04056	20.43417	364
Shishtavec	41.98	20.60583	1352
Shirgjan	41.05194	20.05333	124
Shëngjin	41.92611	20.18833	916
Shënmëri	42.10417	20.23833	409
Selishtë	41.6275	20.27917	743
Saraqinishtë	40.10528	20.22944	708
Rukaj	41.68361	20.01917	332
Rajcë	41.09028	20.57639	694
Roshnik	40.73278	20.03944	361
Qukës-Skënderbe	41.08389	20.43806	556
Qestorat	40.1175	20.19972	553
Qafëmal	42.09333	20.09056	754
Përrenjas-Fshat	41.06667	20.53528	586
Përrenjas	41.07306	20.54889	591
Proptisht	40.98611	20.5025	600
Progër	40.69417	20.94028	842
Potom	40.48833	20.37333	980
Poroçan	40.94194	20.29861	770
Polis-Gostimë	41.13333	20.25833	574
Poliçan	40.61222	20.09806	328
Pojan	40.72583	20.8375	823
Pogradec	40.9025	20.6525	702
Pishaj	40.88111	20.18278	193
Pirg	40.785	20.70611	871
Gjinkar	40.19944	20.40611	311
Petran	40.20944	20.41833	271
Peshkopi	41.685	20.42889	660
Përmet	40.23361	20.35167	244
Ostreni i Math	41.43083	20.45556	927
Orosh	41.83333	20.08333	746
Orenjë	41.28472	20.21194	802
Odrie	40.13333	20.16667	286
Novoselë	40.76139	20.69833	936
Picar	40.16667	20.04833	295
